2023-12-04 19:05:05,537 - INFO - leon9 se movió a la posición [7, 2]
2023-12-04 19:05:05,840 - INFO - leon se movió a la posición [6, 9]
2023-12-04 19:05:05,841 - INFO - leon2 se movió a la posición [6, 6]
2023-12-04 19:05:05,841 - INFO - leon3 se movió a la posición [6, 4]
2023-12-04 19:05:05,841 - INFO - leon4 se movió a la posición [8, 6]
2023-12-04 19:05:05,841 - INFO - leon5 se movió a la posición [7, 10]
2023-12-04 19:05:05,841 - INFO - leon6 se movió a la posición [5, 2]
2023-12-04 19:05:05,841 - INFO - leon7 se movió a la posición [1, 7]
2023-12-04 19:05:05,841 - INFO - leon8 se movió a la posición [4, 26]
2023-12-04 19:05:05,842 - INFO - leon9 se movió a la posición [8, 2]
2023-12-04 19:05:06,142 - INFO - leon se movió a la posición [7, 9]
2023-12-04 19:05:06,142 - INFO - leon2 se movió a la posición [5, 6]
2023-12-04 19:05:06,142 - INFO - leon3 se movió a la posición [7, 4]
2023-12-04 19:05:06,143 - INFO - leon4 se movió a la posición [8, 5]
2023-12-04 19:05:06,143 - INFO - leon5 se movió a la posición [8, 10]
2023-12-04 19:05:06,143 - INFO - leon6 se movió a la posición [4, 2]
2023-12-04 19:05:06,143 - INFO - leon7 se movió a la posición [1, 8]
2023-12-04 19:05:06,143 - INFO - leon8 se movió a la posición [3, 26]
2023-12-04 19:05:06,143 - INFO - leon9 se movió a la posición [7, 2]
2023-12-04 19:05:06,443 - INFO - leon se movió a la posición [6, 9]
2023-12-04 19:05:06,443 - INFO - leon2 se movió a la posición [6, 6]
2023-12-04 19:05:06,444 - INFO - leon3 se movió a la posición [6, 4]
2023-12-04 19:05:06,444 - INFO - leon4 se movió a la posición [7, 5]
2023-12-04 19:05:06,444 - INFO - leon5 se movió a la posición [9, 10]
2023-12-04 19:05:06,444 - INFO - leon6 se movió a la posición [3, 2]
2023-12-04 19:05:06,444 - INFO - leon7 se movió a la posición [1, 9]
2023-12-04 19:05:06,444 - INFO - leon8 se movió a la posición [4, 26]
2023-12-04 19:05:06,444 - INFO - leon9 se movió a la posición [8, 2]
2023-12-04 19:05:06,749 - INFO - leon se movió a la posición [6, 10]
2023-12-04 19:05:06,750 - INFO - leon2 se movió a la posición [7, 6]
2023-12-04 19:05:06,750 - INFO - leon3 se movió a la posición [7, 4]
2023-12-04 19:05:06,750 - INFO - leon4 se movió a la posición [8, 5]
2023-12-04 19:05:06,750 - INFO - leon5 se movió a la posición [9, 9]
2023-12-04 19:05:06,750 - INFO - leon6 se movió a la posición [3, 3]
2023-12-04 19:05:06,750 - INFO - leon7 se movió a la posición [1, 8]
2023-12-04 19:05:06,750 - INFO - leon8 se movió a la posición [4, 25]
2023-12-04 19:05:06,750 - INFO - leon9 se movió a la posición [8, 1]
2023-12-04 19:05:07,061 - INFO - leon se movió a la posición [6, 9]
2023-12-04 19:05:07,061 - INFO - leon2 se movió a la posición [7, 5]
2023-12-04 19:05:07,061 - INFO - leon3 se movió a la posición [7, 5]
2023-12-04 19:05:07,061 - INFO - leon4 se movió a la posición [8, 4]
2023-12-04 19:05:07,061 - INFO - leon5 se movió a la posición [9, 10]
2023-12-04 19:05:07,061 - INFO - leon6 se movió a la posición [2, 3]
2023-12-04 19:05:07,061 - INFO - leon7 se movió a la posición [2, 8]
2023-12-04 19:05:07,061 - INFO - leon8 se movió a la posición [5, 25]
2023-12-04 19:05:07,062 - INFO - leon9 se movió a la posición [7, 1]
2023-12-04 19:05:07,373 - INFO - leon se movió a la posición [6, 10]
2023-12-04 19:05:07,373 - INFO - leon2 se movió a la posición [8, 5]
2023-12-04 19:05:07,373 - INFO - leon3 se movió a la posición [7, 4]
2023-12-04 19:05:07,374 - INFO - leon4 se movió a la posición [9, 4]
2023-12-04 19:05:07,374 - INFO - leon5 se movió a la posición [8, 10]
2023-12-04 19:05:07,374 - INFO - leon6 se movió a la posición [1, 3]
2023-12-04 19:05:07,374 - INFO - leon7 se movió a la posición [3, 8]
2023-12-04 19:05:07,374 - INFO - leon8 se movió a la posición [5, 24]
2023-12-04 19:05:07,374 - INFO - leon9 se movió a la posición [8, 1]
2023-12-04 19:05:07,675 - INFO - leon se movió a la posición [7, 10]
2023-12-04 19:05:07,675 - INFO - leon2 se movió a la posición [8, 4]
2023-12-04 19:05:07,675 - INFO - leon3 se movió a la posición [8, 4]
2023-12-04 19:05:07,675 - INFO - leon4 se movió a la posición [10, 4]
2023-12-04 19:05:07,675 - INFO - leon5 se movió a la posición [7, 10]
2023-12-04 19:05:07,675 - INFO - leon6 se movió a la posición [1, 2]
2023-12-04 19:05:07,675 - INFO - leon7 se movió a la posición [3, 7]
2023-12-04 19:05:07,675 - INFO - leon8 se movió a la posición [6, 24]
